Robox Software Translations																													
	English	Simplified Chinese	Traditional Chinese	Italian	French	French (fprint)	Korean	German (Andreas)	German (Erik)	Spanish	Portuguese	Portuguese (Brazil)	Swedish	Danish	Polish	Dutch	Russian	Japanese	Thai	Greek	Turkish	Arabic	Persian	Hindi	German (CEI)	Punjabi	Czech Language	Finnish	Japanese
sidePanel_printerStatus.filamentStatusLabel 	Filament:	耗材线圈:	膠線耗材：	 Bobina di filamento:	Bobine à filament :	Bobine de filament:	필라멘트	Filament:	 Filament-Rolle:	Enfriando	Bobine de filamento:	Bobina de filamento:	Filament:			Draad spoel	Катушка с нитью:	フィラメントリール:							Filament:		Tisková struna:	Filamentti:	フィラメントリール:
sidePanel_printerStatus.headNotAttached	No print head	没有打印头	沒有打印頭	Nessuna testina di stampa	Aucune tête d'imprimante	Aucune tête d'impression	프린트 헤드 없음	Kein Druckkopf	Kein Druckkopf	Crear nuevo material	Sem cabeça de impressão	Sem cabeça de impressão	Inget skrivarhuvud			Geen printkop	Нет печатающей головки	プリントヘッド無し							Kein Druckkopf		Není tisková hlava	Ei tulostuspäätä	プリントヘッド無し
sidePanel_printerStatus.headStatusLabel 	Head:	打印头:	打印頭：	 Testina:	Tête :		헤드:	Druckkopf:	Druckkopf:	<Crear nuevo material>	Cabeça de impressão:	Cabeça de impressão:	Skrivarhuvud:			Printkop	Головка:	ヘッド:							Druckkopf:		Hlava:	Tulostuspää:	ヘッド:
sidePanel_printerStatus.heaterLabel 	Heater	加热器	加熱器	 Riscaldatore	Filament chauffant	Elément chauffant	히터	Heizung	Heizelement	<Crear nuevo perfil>	Aquecedor	Aquecedor	Värmare			Verwarmings element	Нагреватель:	ヒーター							Heizung		Ohřívač	Lämmitin	ヒーター
sidePanel_printerStatus.noPrinterPlaceholder	No printers connected	沒有打印机连接	未連接打印機	Nessuna stampante collegata	Aucune imprimante connectée		연결된 프린터 없음	Keine Drucker angeschlossen	Keine Drucker verbunden	Crear nuevo perfil	Nenhuma impressora conectada	Nenhuma impressora conectada	Inga skrivare anslutna			Geen printer verbonden	Нет подключенных принтеров	プリンターが接続されていない							Keine Drucker angeschlossen		Není připojena žádná tiskárna	Ei kytkettyjä tulostimia	プリンターが接続されていない
sidePanel_printerStatus.notConnected	Disconnected	已断开	未連接	Scollegato	Déconnecté		연결 해제됨	Getrennt	Nicht verbunden	Actual	Desconectado	Desconectado	Frånkopplad			Niet verbonden	Отключено	非接続							Getrennt		Odpojeno	Irrotettu	非接続
sidePanel_printerStatus.nozzleLabel 	Nozzle	喷嘴	噴咀	 Ugello	Buse		노즐	Düse	Düse	Perfil personalizado	Bocal	Bico	Munstycke			Mondstuk	Сопло	ノズル							Düse		Tryska	Suutin	ノズル
sidePanel_printerStatus.printerLabel	Printer	打印机	打印機	Stampante	Imprimante		프린터	Drucker	Drucker	Elegir perfil	Impressora	Impressora	Skrivare			Printer	Принтер	プリンター							Drucker		Tiskárna	Tulostin	プリンター
sidePanel_printerStatus.printerNameColumn	Printer name	打印机名称	打印機名稱	Nome stampante	Nom de l'imprimante		프린터명	Druckername	Druckername	Multiplicador de velocidad de impresión	Nome da impressora	Nome da impressora	Skrivarnamn			Printer naam	Имя принтера	プリンター名称							Druckername		Název tiskárny	Tulostimen nimi	プリンター名称
sidePanel_printerStatus.statusLabel 	Status:	状态:	狀態：	 Status:	État :		상태:	Status:	Status:	Extrusión	Estado:	Estado:	Status:			Status	Статус:	ステータス：							Status:		Stav:	Tila:	ステータス：
sidePanel_printerStatus.temperatureStatusLabel 	Temperature:	仓内温度:	溫度：	 Temperatura:	Température :		온도:	Temperatur:	Temperatur:	Filamento \u00f8	Temperatura:	Temperatura:	Temperatur:			Temperatuur	Температура:	気温:							Temperatur:		Teplota:	Lämpötila:	気温:
sidePanel_printerStatus.timeAxisLabel	Time	时间	時間		Temps		시간	Zeit		Multiplicador de filamento			Tid				Время	時間							Zeit		Doba	Aika	時間
sidePanel_printerStatus.title	Status	状态	狀態		Statut		상태	Status		Tipo de filamento desconocido			Status				Статус	ステータス							Status		Stav	Tila	ステータス
sidePanel_settings.ambientTemp	Ambient	仓内环境	環境	Ambiente	Ambiante		실내	Umgebung	Umgebung	Densidad de relleno (%)	Ambiente	Ambiente	Omgivning			Omgeving	Окружающий	環境							Umgebung		Okolní	Ympäristö	環境
sidePanel_settings.autoTempLabel	Auto	自动	自動	Auto	Auto		자동	Auto	Automatisch	Cama (primera capa)	Automático	Automático	Auto			Automatisch	Авто	自動							Auto		Auto	Auto	自動
sidePanel_settings.bedTemp	Bed	打印床	床	Letto	Châssis		베드	Bett	Druckbett	Inyector (primera capa)	Base	Base	Bädd			plateau	Платформа	印刷台							Bett		Podložka	Alusta	印刷台
sidePanel_settings.brimLabel	Brim (perimeters)	边缘 (周边)	外邊框(邊沿線)		Bord		브림(외벽)	Rand (Umfang)		Calentador			Brättet (omkrets)				Края (периметры)	Brim（ペリメータ―）							Rand (Umfang)		Lem (perimetry)	Lieri (ympärysmitta)	Brim（ペリメータ―）
sidePanel_settings.chooseAPrinter	Choose a printer	选择一个打印机	選擇打印機	Scegli stampante	Choisissez une imprimante		프린트 선택	Drucker wählen	Drucker wählen	Filamento cargado	Escolha a impressora	Escolha a impressora	Välj skrivare			Kies een printer	Выбрать принтер	プリンターを選択する							Drucker wählen		Vybrat tiskárnu	Valitse tulsotin	プリンターを選択する
sidePanel_settings.coolingTabTitle	Cooling	冷却	冷卻中		Refroidissement		냉각	Kühlung		Manual			Nedkylnking				Охлаждение	冷却							Kühlung		Chlazení	Jäähdytetään	冷却
sidePanel_settings.createMaterialDialogueTitle	Create new material	创建新的材料	創建新物料		Créer une nouvelle matière		신규 소재를 생성	Neues Material erzeugen		Nombre del material			Skapa nytt material				Создать новый материал	新たな材料を生成							Neues Material erzeugen		Vytvořit nový materiál	Luo uusi materiaali	新たな材料を生成
sidePanel_settings.createNewMaterial	<Create new material>	<创建新材料>	<創建新物料>		<Créer une nouvelle matière>		<신규 소재를 생성>	<Neues Material erzeugen>		Elige material			<Skapa nytt material>				<Создать новый материал>	＜新しい材料を作成する＞							<Neues Material erzeugen>		<Vytvořit nový materiál>	<Luo uusi materiaali>	＜新しい材料を作成する＞
sidePanel_settings.createNewProfile	<Create new profile>	<创建新配置文件>	<創建新配置>		<Créer un nouveau profil>		<신규 프로파일 생성>	<Neues Profil erzeugen>		Material			<Skapa ny profil>				<Создать новый профиль>	＜新しいプロフィールを作成する＞							<Neues Profil erzeugen>		<Vytvořit nový profil>	<Luo uusi profiili>	＜新しいプロフィールを作成する＞
sidePanel_settings.createProfileDialogueTitle	Create new profile	创建新的配置文件	創建新配置		<Créer un nouveau profil>		신규 프로파일 생성	Neues Profil erzeugen		Tipo de material			Skapa ny profil				Создать новый профиль	新しいプロフィールを生成する							Neues Profil erzeugen		Vytvořit nový profil	Luo uusi profiili	新しいプロフィールを生成する
sidePanel_settings.currentTemperature	Current	电流	現時		Actuel		현재	Aktuell		Sin borde			Nuvarande				Текущий	現在							Aktuell		Aktuální	Tämänhetkinen	現在
sidePanel_settings.customButtonLabel	Custom profile	自定义配置文件	自定義配置	Personalizzata	Personnalisés	Réglages personnalisés	고객 프로파일	Kundenspezifisches Profil	Benutzerdefiniert	Sin relleno	Personalizar	Personalizar	Anpassad profil			Maatwerk	Пользовательский профиль	カスタムプロフィール							Kundenspezifisches Profil		Vlastní profil	Mukautettu profiili	カスタムプロフィール
sidePanel_settings.customProfileSelectionLabel	Choose profile	选择配置文件	選擇配置		profil personnalisé		프로파일 선택	Profil wählen		Inyector de 0.3 mm			Välj profil				Выберите профиль	プロフィールを選択する							Profil wählen		Vybrat profil	Valitse profiili	プロフィールを選択する
sidePanel_settings.extrusionRateMultiplierLabel	Feed rate multiplier	进料速率 	推線乘數		Multiplicateur du debit d’alimentation		투입 비율 승수	Vorschub-Multiplikator		Inyector de 0.8 mm			Inmatningshastighetens multiplikatoreffekt				Коэффициент подачи	送り量乗数							Vorschub-Multiplikator		Multiplikátor posuvu	Syöttönopeuden kerrannaisvaikutus	送り量乗数
sidePanel_settings.ExtrusionTabTitle	Extrusion	推线	擠出	Estrusione	Extrusion		압출	Extrusion	Extrusion	Inyectores	Extrusão	Extrusão	Extrudering			Extrusie	Экструзия	押し出し							Extrusion		Vytlačování	Suulakepuristus	押し出し
sidePanel_settings.filamentDiameterLabel	Filament \u00f8	线材（丝）/u00f8	膠線耗材\u00f8		Filament \u00f8		필라멘트\u00f8	Filament \u00f8		Inyector			Filament \u00f8				Нить \u00f8	フィラメント \u00f8							Filament \u00f8		Tisková struna \u00f8	Filamentti \u00f8	フィラメント \u00f8
sidePanel_settings.filamentMultiplierLabel	Filament multiplier	线材剩数	膠線耗材乘數		Multiplicateur du filament		필라멘트 승수	Filament-Multiplikator		Número de perímetros			Filamentets multiplikatoreffekt				Коэффициент нити	フィラメント乗数							Filament-Multiplikator		Multiplikátor tiskové struny	Filamentin kerrannaisvaikutus	フィラメント乗数
sidePanel_settings.filamentUnknown	Unknown filament type	未知的耗材类型	不明的耗材類型	Tipo di filamento sconosciuto	Type de filament inconnu		확인안된 필라멘트 타입	Unbekannter Filamenttyp	Unbekannter Filamenttyp	Predeterminado	Tipo de filamento desconhecido	Tipo de filamento desconhecido	Okänd filamenttyp			Onbekend soort draad	Неизвестный тип нити	知らないフィラメントのタイプ							Unbekannter Filamenttyp		Neznámý typ struny	Tuntematon filamenttityyppi	知らないフィラメントのタイプ
sidePanel_settings.fillDensityLabel	Fill density (%)	填充密度 (%)	填充密度(%)		Densité de remplissage		채우기 밀도(%)	Fülldichte (%)		Elige una impresora			Fyllningens densitet (%)				Плотность заполнения (%)	充填密度（％）							Fülldichte (%)		Hustota výplně (%)	Täytön tiheys (%)	充填密度（％）
sidePanel_settings.firstLayerBedTemp	Bed (1st layer)	打印床温度(第1层)	床(第一層)	su primo strato	sur la première couche		베드(첫레이어)	Bett (1. Schicht)	auf erster Ebene	Calidad de impresión	Primeira camada	na primeira camada	Bädd (1:a lagret)			op eerste laag	Платформа (1ый слой)	印刷台（第1層上）							Bett (1. Schicht)		Podložka (1. vrstva)	Alusta (1. kerros)	印刷台（第1層上）
sidePanel_settings.firstLayerNozzleTemp	Nozzle (1st layer)	喷嘴温度(第1层)	噴咀(第一層)	su primo strato	sur la première couche		노즐(첫레이어)	Düse (1. Schicht)	auf erster Ebene	Parámetros de Impresión:	Primeira camada	na primeira camada	Munstycke (1:a lagret)			op eerste laag	Сопло (1ый слой)	ノズル（第1層上）							Düse (1. Schicht)		Tryska (1. vrstva)	Suutin (1. kerros)	ノズル（第1層上）
sidePanel_settings.heaters	Heater	加热器	加熱器		Chauffage		히터	Heizung		Nombre de perfil			Värmare				Нагреватель	ヒーター							Heizung		Ohřívač	Lämmitin	ヒーター
sidePanel_settings.LoadedFilament	Loaded filament	已加载线材	已送入耗材		Filament Chargé		로딩된 필라멘트	Geladenes Filament		Código que permite a un reel ser identificado			Laddat filament				Загруженная нить	装着フィラメント							Geladenes Filament		Zavedená struna	Ladattu filamentti	装着フィラメント
sidePanel_settings.manualTempLabel	sidePanel_settings.manualTempLabel	侧面板设置手动温度标记	菜單	Manuale	Manuel		측면패널_세팅. 메뉴얼온도 라벨	sidePanel_settings.manualTempLabel	Manuell	ID Reel	Manual	Manual	sidePanel_settings.manualTempLabel			Handmatig	sidePanel_settings.manualTempLabel	サイドパネル_設定。マニュアル温度ラベル							sidePanel_settings.manualTempLabel		sidePanel_settings.manualTempLabel	sidePanel_settings.manualTempLabel	サイドパネル_設定。マニュアル温度ラベル
sidePanel_settings.MaterialName	Material name	材料	物料名稱		Nom de la matière		소재명	Materialname		Reversar			Materialets namn				Имя материала	材料名							Materialname		Název materiálu	Materiaalin nimi	材料名
sidePanel_settings.materialSelectionLabel	Choose material	选择材料	揀選物料	Materiale	Choix de la matière		소재 선택	Material wählen	Material	Guardar	Material	Material	Välj material			Materiaal	Выберите материал	材料を選択							Material wählen		Vybrat materiál	Valitse materiaali	材料を選択
sidePanel_settings.materialTab	Material	材料	物料	Materiale	Matière		소재	Material	Material	Guardar	Material	Material	Material			Materiaal	Материал	材料							Material		Materiál	Materiaali	材料
sidePanel_settings.MaterialType	Material type	材料类型	物料類型		Type de matière		소재유형	Materialtyp		Velocidad			Materialets typ				Тип материала	材料タイプ							Materialtyp		Typ materiálu	Materiaalin tyypi	材料タイプ
